,F1-M,F1-M_p-value,F1-D,F1-D_p-value,F2a-M,F2a-M_p-value,F2b-M,F2b-M_p-value,F3-M,F3-M_p-value,F4-M,F4-M_p-value,F,F_p-value,A1-D,A1-D_p-value,A1-M,A1-M_p-value,A1.2,A1.2_p-value,A2-M,A2-M_p-value,A,A_p-value,I1-D,I1-D_p-value,I1-M,I1-M_p-value,I2,I2_p-value,I3-D,I3-D_p-value,I,I_p-value,R1.1,R1.1_p-value,R1.2,R1.2_p-value,R1.3-D,R1.3-D_p-value,R,R_p-value,FAIR,FAIR_p-value,R1.3-M,R1.3-M_p-value
F1-M,,***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F1-D,,,1.0,***,,,0.24,***,-0.02,,,,0.33,***,0.36,***,,,0.49,***,,,0.39,***,,,0.32,***,0.07,,0.01,,0.3,***,0.24,***,,,,,0.27,***,0.31,***,0.32,***
F2a-M,,,,,,***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F2b-M,,,0.24,***,,,1.0,***,0.17,**,,,0.99,***,0.79,***,,,0.6,***,,,0.79,***,,,0.64,***,0.6,***,-0.04,,0.63,***,0.81,***,,,,,0.82,***,0.99,***,0.64,***
F3-M,,,-0.02,,,,0.17,**,1.0,***,,,0.19,***,0.19,***,,,0.07,,,,0.18,***,,,0.16,**,0.18,***,0.01,,0.16,**,0.18,***,,,,,0.18,***,0.16,**,0.16,**
F4-M,,,,,,,,,,,,***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,,,0.33,***,,,0.99,***,0.19,***,,,1.0,***,0.79,***,,,0.62,***,,,0.8,***,,,0.64,***,0.57,***,-0.04,,0.63,***,0.81,***,,,,,0.82,***,1.0,***,0.64,***
A1-D,,,0.36,***,,,0.79,***,0.19,***,,,0.79,***,1.0,***,,,0.72,***,,,0.99,***,,,0.74,***,0.67,***,-0.11,*,0.72,***,0.76,***,,,,,0.79,***,0.8,***,0.74,***
A1-M,,,,,,,,,,,,,,,,,,***,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A1.2,,,0.49,***,,,0.6,***,0.07,,,,0.62,***,0.72,***,,,1.0,***,,,0.79,***,,,0.88,***,0.83,***,0.02,,0.88,***,0.62,***,,,,,0.69,***,0.64,***,0.88,***
A2-M,,,,,,,,,,,,,,,,,,,,,,***,,,,,,,,,,,,,,,,,,,,,,,,
A,,,0.39,***,,,0.79,***,0.18,***,,,0.8,***,0.99,***,,,0.79,***,,,1.0,***,,,0.79,***,0.72,***,-0.1,,0.77,***,0.76,***,,,,,0.8,***,0.81,***,0.79,***
I1-D,,,,,,,,,,,,,,,,,,,,,,,,,,***,,,,,,,,,,,,,,,,,,,,
I1-M,,,0.32,***,,,0.64,***,0.16,**,,,0.64,***,0.74,***,,,0.88,***,,,0.79,***,,,1.0,***,0.9,***,0.02,,0.99,***,0.68,***,,,,,0.77,***,0.66,***,1.0,***
I2,,,0.07,,,,0.6,***,0.18,***,,,0.57,***,0.67,***,,,0.83,***,,,0.72,***,,,0.9,***,1.0,***,0.02,,0.91,***,0.61,***,,,,,0.69,***,0.59,***,0.9,***
I3-D,,,0.01,,,,-0.04,,0.01,,,,-0.04,,-0.11,*,,,0.02,,,,-0.1,,,,0.02,,0.02,,1.0,***,0.17,**,-0.1,,,,,,-0.09,,-0.06,,0.02,
I,,,0.3,***,,,0.63,***,0.16,**,,,0.63,***,0.72,***,,,0.88,***,,,0.77,***,,,0.99,***,0.91,***,0.17,**,1.0,***,0.66,***,,,,,0.74,***,0.64,***,0.99,***
R1.1,,,0.24,***,,,0.81,***,0.18,***,,,0.81,***,0.76,***,,,0.62,***,,,0.76,***,,,0.68,***,0.61,***,-0.1,,0.66,***,1.0,***,,,,,0.99,***,0.84,***,0.68,***
R1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,***,,,,,,,,
R1.3-D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,***,,,,,,
R,,,0.27,***,,,0.82,***,0.18,***,,,0.82,***,0.79,***,,,0.69,***,,,0.8,***,,,0.77,***,0.69,***,-0.09,,0.74,***,0.99,***,,,,,1.0,***,0.85,***,0.77,***
FAIR,,,0.31,***,,,0.99,***,0.16,**,,,1.0,***,0.8,***,,,0.64,***,,,0.81,***,,,0.66,***,0.59,***,-0.06,,0.64,***,0.84,***,,,,,0.85,***,1.0,***,0.66,***
R1.3-M,,,0.32,***,,,0.64,***,0.16,**,,,0.64,***,0.74,***,,,0.88,***,,,0.79,***,,,1.0,***,0.9,***,0.02,,0.99,***,0.68,***,,,,,0.77,***,0.66,***,1.0,***
