,F1-M,F1-M_p-value,F1-D,F1-D_p-value,F2a-M,F2a-M_p-value,F2b-M,F2b-M_p-value,F3-M,F3-M_p-value,F4-M,F4-M_p-value,F,F_p-value,A1-D,A1-D_p-value,A1-M,A1-M_p-value,A1.2,A1.2_p-value,A2-M,A2-M_p-value,A,A_p-value,I1-D,I1-D_p-value,I1-M,I1-M_p-value,I2,I2_p-value,I3-D,I3-D_p-value,I,I_p-value,R1.1,R1.1_p-value,R1.2,R1.2_p-value,R1.3-D,R1.3-D_p-value,R,R_p-value,FAIR,FAIR_p-value,R1.3-M,R1.3-M_p-value
F1-M,,***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F1-D,,,1.0,***,,,0.21,,0.29,,,,0.49,***,0.3,,,,0.82,***,,,0.57,***,,,0.57,***,0.15,,0.06,,0.52,***,0.23,,,,,,0.47,**,0.51,***,0.57,***
F2a-M,,,,,,***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F2b-M,,,0.21,,,,1.0,***,0.19,,,,0.88,***,0.6,***,,,0.24,,,,0.57,***,,,0.37,*,0.51,***,0.26,,0.46,**,0.5,***,,,,,0.55,***,0.79,***,0.37,*
F3-M,,,0.29,,,,0.19,,1.0,***,,,0.38,*,0.18,,,,0.2,,,,0.22,,,,0.18,,-0.07,,0.03,,0.15,,0.14,,,,,,0.19,,0.29,,0.18,
F4-M,,,,,,,,,,,,***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,,,0.49,***,,,0.88,***,0.38,*,,,1.0,***,0.69,***,,,0.48,**,,,0.73,***,,,0.54,***,0.46,**,0.26,,0.59,***,0.55,***,,,,,0.67,***,0.92,***,0.54,***
A1-D,,,0.3,,,,0.6,***,0.18,,,,0.69,***,1.0,***,,,0.36,*,,,0.92,***,,,0.39,**,0.26,,0.2,,0.43,**,0.26,,,,,,0.39,**,0.78,***,0.39,**
A1-M,,,,,,,,,,,,,,,,,,***,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A1.2,,,0.82,***,,,0.24,,0.2,,,,0.48,**,0.36,*,,,1.0,***,,,0.69,***,,,0.76,***,0.28,,0.07,,0.69,***,0.28,,,,,,0.6,***,0.61,***,0.76,***
A2-M,,,,,,,,,,,,,,,,,,,,,,***,,,,,,,,,,,,,,,,,,,,,,,,
A,,,0.57,***,,,0.57,***,0.22,,,,0.73,***,0.92,***,,,0.69,***,,,1.0,***,,,0.62,***,0.32,*,0.19,,0.61,***,0.32,*,,,,,0.56,***,0.85,***,0.62,***
I1-D,,,,,,,,,,,,,,,,,,,,,,,,,,***,,,,,,,,,,,,,,,,,,,,
I1-M,,,0.57,***,,,0.37,*,0.18,,,,0.54,***,0.39,**,,,0.76,***,,,0.62,***,,,1.0,***,0.67,***,0.08,,0.95,***,0.31,*,,,,,0.75,***,0.69,***,1.0,***
I2,,,0.15,,,,0.51,***,-0.07,,,,0.46,**,0.26,,,,0.28,,,,0.32,*,,,0.67,***,1.0,***,0.05,,0.71,***,0.21,,,,,,0.5,***,0.49,***,0.67,***
I3-D,,,0.06,,,,0.26,,0.03,,,,0.26,,0.2,,,,0.07,,,,0.19,,,,0.08,,0.05,,1.0,***,0.37,*,-0.1,,,,,,-0.03,,0.25,,0.08,
I,,,0.52,***,,,0.46,**,0.15,,,,0.59,***,0.43,**,,,0.69,***,,,0.61,***,,,0.95,***,0.71,***,0.37,*,1.0,***,0.25,,,,,,0.68,***,0.71,***,0.95,***
R1.1,,,0.23,,,,0.5,***,0.14,,,,0.55,***,0.26,,,,0.28,,,,0.32,*,,,0.31,*,0.21,,-0.1,,0.25,,1.0,***,,,,,0.86,***,0.65,***,0.31,*
R1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,***,,,,,,,,
R1.3-D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,***,,,,,,
R,,,0.47,**,,,0.55,***,0.19,,,,0.67,***,0.39,**,,,0.6,***,,,0.56,***,,,0.75,***,0.5,***,-0.03,,0.68,***,0.86,***,,,,,1.0,***,0.82,***,0.75,***
FAIR,,,0.51,***,,,0.79,***,0.29,,,,0.92,***,0.78,***,,,0.61,***,,,0.85,***,,,0.69,***,0.49,***,0.25,,0.71,***,0.65,***,,,,,0.82,***,1.0,***,0.69,***
R1.3-M,,,0.57,***,,,0.37,*,0.18,,,,0.54,***,0.39,**,,,0.76,***,,,0.62,***,,,1.0,***,0.67,***,0.08,,0.95,***,0.31,*,,,,,0.75,***,0.69,***,1.0,***
