,Availability,Licensing,Interlinking,Verifiability,Security
Availability,"1.00 [1.00, 1.00] ***","0.30 [-0.05, 0.59] ","0.60 [nan, nan] ***","0.56 [0.22, 0.78] ***","0.58 [nan, nan] ***"
Licensing,"0.30 [-0.05, 0.59] ","1.00 [1.00, 1.00] ***","0.37 [nan, nan] *","0.39 [0.13, 0.62] *","0.36 [0.14, 0.54] *"
Interlinking,"0.60 [nan, nan] ***","0.37 [nan, nan] *","1.00 [nan, nan] ***","0.66 [nan, nan] ***","0.99 [nan, nan] ***"
Verifiability,"0.56 [0.22, 0.78] ***","0.39 [0.13, 0.62] *","0.66 [nan, nan] ***","1.00 [1.00, 1.00] ***","0.66 [0.42, 0.81] ***"
Security,"0.58 [nan, nan] ***","0.36 [0.14, 0.54] *","0.99 [nan, nan] ***","0.66 [0.42, 0.81] ***","1.00 [nan, nan] ***"
