,F1-M,F1-M_p-value,F1-D,F1-D_p-value,F2a-M,F2a-M_p-value,F2b-M,F2b-M_p-value,F3-M,F3-M_p-value,F4-M,F4-M_p-value,F,F_p-value,A1-D,A1-D_p-value,A1-M,A1-M_p-value,A1.2,A1.2_p-value,A2-M,A2-M_p-value,A,A_p-value,I1-D,I1-D_p-value,I1-M,I1-M_p-value,I2,I2_p-value,I3-D,I3-D_p-value,I,I_p-value,R1.1,R1.1_p-value,R1.2,R1.2_p-value,R1.3-D,R1.3-D_p-value,R1.3-M,R1.3-M_p-value,R,R_p-value,FAIR,FAIR_p-value
F1-M,1.0,***,-0.01,,,,0.06,,1.0,***,,,0.16,,-0.1,,,,-0.01,,,,-0.1,,,,-0.01,,,,0.01,,-0.01,,0.06,,,,,,-0.01,,0.05,,0.14,
F1-D,-0.01,,1.0,***,,,0.22,*,-0.01,,,,0.28,**,0.13,,,,1.0,***,,,0.29,***,,,0.27,**,,,0.02,,0.23,**,0.1,,,,,,0.27,**,0.17,,0.26,**
F2a-M,,,,,,***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F2b-M,0.06,,0.22,*,,,1.0,***,0.06,,,,0.99,***,0.01,,,,0.22,*,,,0.04,,,,0.05,,,,0.17,*,0.14,,0.71,***,,,,,0.05,,0.71,***,0.85,***
F3-M,1.0,***,-0.01,,,,0.06,,1.0,***,,,0.16,,-0.1,,,,-0.01,,,,-0.1,,,,-0.01,,,,0.01,,-0.01,,0.06,,,,,,-0.01,,0.05,,0.14,
F4-M,,,,,,,,,,,,***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,0.16,,0.28,**,,,0.99,***,0.16,,,,1.0,***,0.0,,,,0.28,**,,,0.05,,,,0.1,,,,0.17,*,0.17,*,0.71,***,,,,,0.1,,0.72,***,0.87,***
A1-D,-0.1,,0.13,,,,0.01,,-0.1,,,,0.0,,1.0,***,,,0.13,,,,0.99,***,,,0.06,,,,-0.11,,-0.01,,-0.24,**,,,,,0.06,,-0.22,**,0.33,***
A1-M,,,,,,,,,,,,,,,,,,***,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A1.2,-0.01,,1.0,***,,,0.22,*,-0.01,,,,0.28,**,0.13,,,,1.0,***,,,0.29,***,,,0.27,**,,,0.02,,0.23,**,0.1,,,,,,0.27,**,0.17,,0.26,**
A2-M,,,,,,,,,,,,,,,,,,,,,,***,,,,,,,,,,,,,,,,,,,,,,,,
A,-0.1,,0.29,***,,,0.04,,-0.1,,,,0.05,,0.99,***,,,0.29,***,,,1.0,***,,,0.1,,,,-0.1,,0.03,,-0.21,*,,,,,0.1,,-0.18,*,0.36,***
I1-D,,,,,,,,,,,,,,,,,,,,,,,,,,***,,,,,,,,,,,,,,,,,,,,
I1-M,-0.01,,0.27,**,,,0.05,,-0.01,,,,0.1,,0.06,,,,0.27,**,,,0.1,,,,1.0,***,,,0.02,,0.82,***,-0.08,,,,,,1.0,***,0.24,**,0.25,**
I2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,***,,,,,,,,,,,,,,,,
I3-D,0.01,,0.02,,,,0.17,*,0.01,,,,0.17,*,-0.11,,,,0.02,,,,-0.1,,,,0.02,,,,1.0,***,0.59,***,-0.08,,,,,,0.02,,-0.07,,0.15,
I,-0.01,,0.23,**,,,0.14,,-0.01,,,,0.17,*,-0.01,,,,0.23,**,,,0.03,,,,0.82,***,,,0.59,***,1.0,***,-0.11,,,,,,0.82,***,0.15,,0.29,***
R1.1,0.06,,0.1,,,,0.71,***,0.06,,,,0.71,***,-0.24,**,,,0.1,,,,-0.21,*,,,-0.08,,,,-0.08,,-0.11,,1.0,***,,,,,-0.08,,0.95,***,0.67,***
R1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,***,,,,,,,,
R1.3-D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,***,,,,,,
R1.3-M,-0.01,,0.27,**,,,0.05,,-0.01,,,,0.1,,0.06,,,,0.27,**,,,0.1,,,,1.0,***,,,0.02,,0.82,***,-0.08,,,,,,1.0,***,0.24,**,0.25,**
R,0.05,,0.17,,,,0.71,***,0.05,,,,0.72,***,-0.22,**,,,0.17,,,,-0.18,*,,,0.24,**,,,-0.07,,0.15,,0.95,***,,,,,0.24,**,1.0,***,0.73,***
FAIR,0.14,,0.26,**,,,0.85,***,0.14,,,,0.87,***,0.33,***,,,0.26,**,,,0.36,***,,,0.25,**,,,0.15,,0.29,***,0.67,***,,,,,0.25,**,0.73,***,1.0,***
