,F1-M,F1-M_p-value,F1-D,F1-D_p-value,F2a-M,F2a-M_p-value,F2b-M,F2b-M_p-value,F3-M,F3-M_p-value,F4-M,F4-M_p-value,F,F_p-value,A1-D,A1-D_p-value,A1-M,A1-M_p-value,A1.2,A1.2_p-value,A2-M,A2-M_p-value,A,A_p-value,I1-D,I1-D_p-value,I1-M,I1-M_p-value,I2,I2_p-value,I3-D,I3-D_p-value,I,I_p-value,R1.1,R1.1_p-value,R1.2,R1.2_p-value,R1.3-D,R1.3-D_p-value,R1.3-M,R1.3-M_p-value,R,R_p-value,FAIR,FAIR_p-value
F1-M,1.0,***,-0.05,,,,0.54,***,1.0,***,,,0.63,***,0.22,**,,,-0.05,,,,0.2,**,,,0.83,***,,,0.02,,0.69,***,0.23,**,,,,,0.83,***,0.62,***,0.57,***
F1-D,-0.05,,1.0,***,,,0.16,*,-0.05,,,,0.18,*,0.1,,,,1.0,***,,,0.27,***,,,0.07,,,,0.03,,0.07,,0.08,,,,,,0.07,,0.1,,0.19,*
F2a-M,,,,,,***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F2b-M,0.54,***,0.16,*,,,1.0,***,0.54,***,,,0.97,***,0.18,*,,,0.16,*,,,0.2,*,,,0.54,***,,,0.26,***,0.57,***,0.63,***,,,,,0.54,***,0.76,***,0.9,***
F3-M,1.0,***,-0.05,,,,0.54,***,1.0,***,,,0.63,***,0.22,**,,,-0.05,,,,0.2,**,,,0.83,***,,,0.02,,0.69,***,0.23,**,,,,,0.83,***,0.62,***,0.57,***
F4-M,,,,,,,,,,,,***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,0.63,***,0.18,*,,,0.97,***,0.63,***,,,1.0,***,0.16,*,,,0.18,*,,,0.18,*,,,0.57,***,,,0.2,*,0.57,***,0.63,***,,,,,0.57,***,0.78,***,0.91,***
A1-D,0.22,**,0.1,,,,0.18,*,0.22,**,,,0.16,*,1.0,***,,,0.1,,,,0.98,***,,,0.28,***,,,-0.09,,0.19,*,-0.14,,,,,,0.28,***,0.05,,0.4,***
A1-M,,,,,,,,,,,,,,,,,,***,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A1.2,-0.05,,1.0,***,,,0.16,*,-0.05,,,,0.18,*,0.1,,,,1.0,***,,,0.27,***,,,0.07,,,,0.03,,0.07,,0.08,,,,,,0.07,,0.1,,0.19,*
A2-M,,,,,,,,,,,,,,,,,,,,,,***,,,,,,,,,,,,,,,,,,,,,,,,
A,0.2,**,0.27,***,,,0.2,*,0.2,**,,,0.18,*,0.98,***,,,0.27,***,,,1.0,***,,,0.29,***,,,-0.08,,0.2,*,-0.12,,,,,,0.29,***,0.07,,0.42,***
I1-D,,,,,,,,,,,,,,,,,,,,,,,,,,***,,,,,,,,,,,,,,,,,,,,
I1-M,0.83,***,0.07,,,,0.54,***,0.83,***,,,0.57,***,0.28,***,,,0.07,,,,0.29,***,,,1.0,***,,,0.11,,0.87,***,0.16,*,,,,,1.0,***,0.68,***,0.62,***
I2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,***,,,,,,,,,,,,,,,,
I3-D,0.02,,0.03,,,,0.26,***,0.02,,,,0.2,*,-0.09,,,,0.03,,,,-0.08,,,,0.11,,,,1.0,***,0.58,***,-0.15,,,,,,0.11,,-0.05,,0.24,**
I,0.69,***,0.07,,,,0.57,***,0.69,***,,,0.57,***,0.19,*,,,0.07,,,,0.2,*,,,0.87,***,,,0.58,***,1.0,***,0.06,,,,,,0.87,***,0.53,***,0.62,***
R1.1,0.23,**,0.08,,,,0.63,***,0.23,**,,,0.63,***,-0.14,,,,0.08,,,,-0.12,,,,0.16,*,,,-0.15,,0.06,,1.0,***,,,,,0.16,*,0.84,***,0.61,***
R1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,***,,,,,,,,
R1.3-D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,***,,,,,,
R1.3-M,0.83,***,0.07,,,,0.54,***,0.83,***,,,0.57,***,0.28,***,,,0.07,,,,0.29,***,,,1.0,***,,,0.11,,0.87,***,0.16,*,,,,,1.0,***,0.68,***,0.62,***
R,0.62,***,0.1,,,,0.76,***,0.62,***,,,0.78,***,0.05,,,,0.1,,,,0.07,,,,0.68,***,,,-0.05,,0.53,***,0.84,***,,,,,0.68,***,1.0,***,0.8,***
FAIR,0.57,***,0.19,*,,,0.9,***,0.57,***,,,0.91,***,0.4,***,,,0.19,*,,,0.42,***,,,0.62,***,,,0.24,**,0.62,***,0.61,***,,,,,0.62,***,0.8,***,1.0,***
