,F1-M,F1-M_p-value,F1-D,F1-D_p-value,F2a-M,F2a-M_p-value,F2b-M,F2b-M_p-value,F3-M,F3-M_p-value,F4-M,F4-M_p-value,F,F_p-value,A1-D,A1-D_p-value,A1-M,A1-M_p-value,A1.2,A1.2_p-value,A2-M,A2-M_p-value,A,A_p-value,I1-D,I1-D_p-value,I1-M,I1-M_p-value,I2,I2_p-value,I3-D,I3-D_p-value,I,I_p-value,R1.1,R1.1_p-value,R1.2,R1.2_p-value,R1.3-D,R1.3-D_p-value,R1.3-M,R1.3-M_p-value,R,R_p-value,FAIR,FAIR_p-value
F1-M,1.0,***,0.14,**,,,0.29,***,1.0,***,,,0.31,***,0.07,,,,0.11,*,,,0.11,*,,,0.11,*,0.1,,0.03,,0.11,*,0.23,***,,,,,0.11,*,0.22,***,0.24,***
F1-D,0.14,**,1.0,***,,,0.16,**,0.14,**,,,0.43,***,0.1,,,,0.59,***,,,0.42,***,,,0.32,***,0.08,,-0.01,,0.26,***,0.32,***,,,,,0.32,***,0.35,***,0.38,***
F2a-M,,,,,,***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F2b-M,0.29,***,0.16,**,,,1.0,***,0.29,***,,,0.94,***,0.24,***,,,0.58,***,,,0.51,***,,,0.65,***,0.61,***,0.33,***,0.71,***,0.57,***,,,,,0.65,***,0.63,***,0.86,***
F3-M,1.0,***,0.14,**,,,0.29,***,1.0,***,,,0.31,***,0.07,,,,0.11,*,,,0.11,*,,,0.11,*,0.1,,0.03,,0.11,*,0.23,***,,,,,0.11,*,0.22,***,0.24,***
F4-M,,,,,,,,,,,,***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,0.31,***,0.43,***,,,0.94,***,0.31,***,,,1.0,***,0.25,***,,,0.7,***,,,0.59,***,,,0.66,***,0.55,***,0.29,***,0.7,***,0.63,***,,,,,0.66,***,0.68,***,0.91,***
A1-D,0.07,,0.1,,,,0.24,***,0.07,,,,0.25,***,1.0,***,,,0.17,***,,,0.81,***,,,0.13,*,0.13,**,0.21,***,0.21,***,-0.16,**,,,,,0.13,*,-0.12,*,0.47,***
A1-M,,,,,,,,,,,,,,,,,,***,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A1.2,0.11,*,0.59,***,,,0.58,***,0.11,*,,,0.7,***,0.17,***,,,1.0,***,,,0.72,***,,,0.81,***,0.78,***,0.01,,0.69,***,0.58,***,,,,,0.81,***,0.67,***,0.66,***
A2-M,,,,,,,,,,,,,,,,,,,,,,***,,,,,,,,,,,,,,,,,,,,,,,,
A,0.11,*,0.42,***,,,0.51,***,0.11,*,,,0.59,***,0.81,***,,,0.72,***,,,1.0,***,,,0.57,***,0.56,***,0.15,**,0.56,***,0.23,***,,,,,0.57,***,0.32,***,0.73,***
I1-D,,,,,,,,,,,,,,,,,,,,,,,,,,***,,,,,,,,,,,,,,,,,,,,
I1-M,0.11,*,0.32,***,,,0.65,***,0.11,*,,,0.66,***,0.13,*,,,0.81,***,,,0.57,***,,,1.0,***,0.78,***,0.08,,0.88,***,0.58,***,,,,,1.0,***,0.72,***,0.66,***
I2,0.1,,0.08,,,,0.61,***,0.1,,,,0.55,***,0.13,**,,,0.78,***,,,0.56,***,,,0.78,***,1.0,***,0.06,,0.72,***,0.47,***,,,,,0.78,***,0.57,***,0.54,***
I3-D,0.03,,-0.01,,,,0.33,***,0.03,,,,0.29,***,0.21,***,,,0.01,,,,0.15,**,,,0.08,,0.06,,1.0,***,0.55,***,-0.34,***,,,,,0.08,,-0.27,***,0.25,***
I,0.11,*,0.26,***,,,0.71,***,0.11,*,,,0.7,***,0.21,***,,,0.69,***,,,0.56,***,,,0.88,***,0.72,***,0.55,***,1.0,***,0.32,***,,,,,0.88,***,0.47,***,0.68,***
R1.1,0.23,***,0.32,***,,,0.57,***,0.23,***,,,0.63,***,-0.16,**,,,0.58,***,,,0.23,***,,,0.58,***,0.47,***,-0.34,***,0.32,***,1.0,***,,,,,0.58,***,0.98,***,0.62,***
R1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,***,,,,,,,,
R1.3-D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,***,,,,,,
R1.3-M,0.11,*,0.32,***,,,0.65,***,0.11,*,,,0.66,***,0.13,*,,,0.81,***,,,0.57,***,,,1.0,***,0.78,***,0.08,,0.88,***,0.58,***,,,,,1.0,***,0.72,***,0.66,***
R,0.22,***,0.35,***,,,0.63,***,0.22,***,,,0.68,***,-0.12,*,,,0.67,***,,,0.32,***,,,0.72,***,0.57,***,-0.27,***,0.47,***,0.98,***,,,,,0.72,***,1.0,***,0.68,***
FAIR,0.24,***,0.38,***,,,0.86,***,0.24,***,,,0.91,***,0.47,***,,,0.66,***,,,0.73,***,,,0.66,***,0.54,***,0.25,***,0.68,***,0.62,***,,,,,0.66,***,0.68,***,1.0,***
