,Availability,Licensing,Interlinking,Verifiability,Security
Availability,"1.00 [nan, nan] ***","-0.11 [nan, nan] ","nan [nan, nan] ","-0.53 [nan, nan] ","nan [nan, nan] "
Licensing,"-0.11 [nan, nan] ","1.00 [nan, nan] ***","nan [nan, nan] ","0.71 [nan, nan] ","nan [nan, nan] "
Interlinking,"nan [nan, nan] ","nan [nan, nan] ","nan [nan, nan] ","nan [nan, nan] ","nan [nan, nan] "
Verifiability,"-0.53 [nan, nan] ","0.71 [nan, nan] ","nan [nan, nan] ","1.00 [nan, nan] ***","nan [nan, nan] "
Security,"nan [nan, nan] ","nan [nan, nan] ","nan [nan, nan] ","nan [nan, nan] ","nan [nan, nan] "
