,Availability,Licensing,Interlinking,Verifiability,Security
Availability,"1.00 [1.00, 1.00] ***","0.44 [0.23, 0.63] **","0.19 [nan, nan] ","-0.14 [-0.46, 0.18] ","0.19 [nan, nan] "
Licensing,"0.44 [0.23, 0.63] **","1.00 [1.00, 1.00] ***","0.07 [nan, nan] ","0.43 [0.23, 0.61] **","0.07 [nan, nan] "
Interlinking,"0.19 [nan, nan] ","0.07 [nan, nan] ","1.00 [nan, nan] ***","0.15 [nan, nan] ","1.00 [nan, nan] ***"
Verifiability,"-0.14 [-0.46, 0.18] ","0.43 [0.23, 0.61] **","0.15 [nan, nan] ","1.00 [1.00, 1.00] ***","0.15 [nan, nan] "
Security,"0.19 [nan, nan] ","0.07 [nan, nan] ","1.00 [nan, nan] ***","0.15 [nan, nan] ","1.00 [nan, nan] ***"
