,Availability,Licensing,Interlinking,Verifiability,Security
Availability,"nan [nan, nan] ","nan [nan, nan] ","nan [nan, nan] ","nan [nan, nan] ","nan [nan, nan] "
Licensing,"nan [nan, nan] ","nan [nan, nan] ","nan [nan, nan] ","nan [nan, nan] ","nan [nan, nan] "
Interlinking,"nan [nan, nan] ","nan [nan, nan] ","nan [nan, nan] ","nan [nan, nan] ","nan [nan, nan] "
Verifiability,"nan [nan, nan] ","nan [nan, nan] ","nan [nan, nan] ","nan [nan, nan] ","nan [nan, nan] "
Security,"nan [nan, nan] ","nan [nan, nan] ","nan [nan, nan] ","nan [nan, nan] ","nan [nan, nan] "
