,Availability,Licensing,Interlinking,Verifiability,Security
Availability,"1.00 [1.00, 1.00] ***","0.47 [nan, nan] ","0.11 [-0.75, 0.86] ","0.17 [-0.56, 0.75] ","-0.28 [nan, nan] "
Licensing,"0.47 [nan, nan] ","1.00 [nan, nan] ***","-0.09 [nan, nan] ","0.00 [nan, nan] ","-0.75 [nan, nan] *"
Interlinking,"0.11 [-0.75, 0.86] ","-0.09 [nan, nan] ","1.00 [1.00, 1.00] ***","-0.03 [-0.66, 0.68] ","-0.28 [nan, nan] "
Verifiability,"0.17 [-0.56, 0.75] ","0.00 [nan, nan] ","-0.03 [-0.66, 0.68] ","1.00 [1.00, 1.00] ***","-0.28 [nan, nan] "
Security,"-0.28 [nan, nan] ","-0.75 [nan, nan] *","-0.28 [nan, nan] ","-0.28 [nan, nan] ","1.00 [nan, nan] ***"
