,F1-M,F1-M_p-value,F1-D,F1-D_p-value,F2a-M,F2a-M_p-value,F2b-M,F2b-M_p-value,F3-M,F3-M_p-value,F4-M,F4-M_p-value,F,F_p-value,A1-D,A1-D_p-value,A1-M,A1-M_p-value,A1.2,A1.2_p-value,A2-M,A2-M_p-value,A,A_p-value,I1-D,I1-D_p-value,I1-M,I1-M_p-value,I2,I2_p-value,I3-D,I3-D_p-value,I,I_p-value,R1.1,R1.1_p-value,R1.2,R1.2_p-value,R1.3-D,R1.3-D_p-value,R,R_p-value,FAIR,FAIR_p-value,R1.3-M,R1.3-M_p-value
F1-M,,***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F1-D,,,1.0,***,,,0.34,***,,,,,0.4,***,0.29,***,,,0.74,***,,,0.42,***,,,0.57,***,0.12,,0.03,,0.51,***,0.17,*,,,,,0.31,***,0.38,***,0.57,***
F2a-M,,,,,,***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F2b-M,,,0.34,***,,,1.0,***,,,,,1.0,***,0.54,***,,,0.46,***,,,0.58,***,,,0.49,***,0.32,***,0.19,*,0.51,***,0.68,***,,,,,0.73,***,0.92,***,0.49,***
F3-M,,,,,,,,,,***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F4-M,,,,,,,,,,,,***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,,,0.4,***,,,1.0,***,,,,,1.0,***,0.54,***,,,0.5,***,,,0.59,***,,,0.49,***,0.3,***,0.19,*,0.52,***,0.66,***,,,,,0.72,***,0.93,***,0.49,***
A1-D,,,0.29,***,,,0.54,***,,,,,0.54,***,1.0,***,,,0.4,***,,,0.98,***,,,0.38,***,0.23,**,0.02,,0.35,***,0.26,**,,,,,0.34,***,0.71,***,0.38,***
A1-M,,,,,,,,,,,,,,,,,,***,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A1.2,,,0.74,***,,,0.46,***,,,,,0.5,***,0.4,***,,,1.0,***,,,0.57,***,,,0.72,***,0.2,*,0.04,,0.64,***,0.26,**,,,,,0.43,***,0.5,***,0.72,***
A2-M,,,,,,,,,,,,,,,,,,,,,,***,,,,,,,,,,,,,,,,,,,,,,,,
A,,,0.42,***,,,0.58,***,,,,,0.59,***,0.98,***,,,0.57,***,,,1.0,***,,,0.5,***,0.25,**,0.02,,0.45,***,0.29,***,,,,,0.39,***,0.74,***,0.5,***
I1-D,,,,,,,,,,,,,,,,,,,,,,,,,,***,,,,,,,,,,,,,,,,,,,,
I1-M,,,0.57,***,,,0.49,***,,,,,0.49,***,0.38,***,,,0.72,***,,,0.5,***,,,1.0,***,0.6,***,0.04,,0.91,***,0.29,***,,,,,0.53,***,0.49,***,1.0,***
I2,,,0.12,,,,0.32,***,,,,,0.3,***,0.23,**,,,0.2,*,,,0.25,**,,,0.6,***,1.0,***,0.03,,0.58,***,0.17,*,,,,,0.32,***,0.29,***,0.6,***
I3-D,,,0.03,,,,0.19,*,,,,,0.19,*,0.02,,,,0.04,,,,0.02,,,,0.04,,0.03,,1.0,***,0.45,***,-0.13,,,,,,-0.11,,0.16,*,0.04,
I,,,0.51,***,,,0.51,***,,,,,0.52,***,0.35,***,,,0.64,***,,,0.45,***,,,0.91,***,0.58,***,0.45,***,1.0,***,0.2,*,,,,,0.43,***,0.5,***,0.91,***
R1.1,,,0.17,*,,,0.68,***,,,,,0.66,***,0.26,**,,,0.26,**,,,0.29,***,,,0.29,***,0.17,*,-0.13,,0.2,*,1.0,***,,,,,0.96,***,0.76,***,0.29,***
R1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,***,,,,,,,,
R1.3-D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,***,,,,,,
R,,,0.31,***,,,0.73,***,,,,,0.72,***,0.34,***,,,0.43,***,,,0.39,***,,,0.53,***,0.32,***,-0.11,,0.43,***,0.96,***,,,,,1.0,***,0.81,***,0.53,***
FAIR,,,0.38,***,,,0.92,***,,,,,0.93,***,0.71,***,,,0.5,***,,,0.74,***,,,0.49,***,0.29,***,0.16,*,0.5,***,0.76,***,,,,,0.81,***,1.0,***,0.49,***
R1.3-M,,,0.57,***,,,0.49,***,,,,,0.49,***,0.38,***,,,0.72,***,,,0.5,***,,,1.0,***,0.6,***,0.04,,0.91,***,0.29,***,,,,,0.53,***,0.49,***,1.0,***
