KG id,KG name,KG SPARQL endpoint,RDF dump link,Ontology,F1-M Unique and persistent ID,F1-D URIs dereferenceability,F2a-M - Metadata availability via standard primary sources,F2b-M Metadata availability for all the attributes covered in the FAIR score computation,F3-M Data referrable via a DOI,F4-M Metadata registered in a searchable engine,F score,A1-D Working access point(s),A1-M Metadata availability via working primary sources,A1.2 Authentication & HTTPS support,A2-M Registered in search engines,A score,I1-D Standard & open representation format,I1-M Metadata are described with VoID/DCAT predicates,I2 Use of FAIR vocabularies,I3-D Degree of connection,I score,R1.1 Machine- or human-readable license retrievable via any primary source,"R1.2 Publisher information, such as authors, contributors, publishers, and sources",R1.3-D Data organized in a standardized way,R score,FAIR score,R1.3-M Metadata are described with VoID/DCAT predicates
statusnet-doomicile-de,statusnet-doomicile-de,,[],False,1,0.0,1,0.33,0,1,0.56,1,1,0.0,1,0.75,1,0,0.0,1,0.5,0,1,1,0.5,2.31,0
statusnet-dtdns-net,statusnet-dtdns-net,,[],False,1,0.0,1,0.22,0,1,0.54,0,1,0.0,1,0.5,1,0,0.0,1,0.5,0,1,1,0.5,2.04,0
statusnet-equestriarp-net,statusnet-equestriarp-net,,[],False,1,0.0,1,0.22,0,1,0.54,0,1,0.0,1,0.5,1,0,0.0,1,0.5,0,1,1,0.5,2.04,0
statusnet-fcac-com,statusnet-fcac-com,,[],False,1,0.0,1,0.22,0,1,0.54,0,1,0.0,1,0.5,1,0,0.0,1,0.5,0,1,1,0.5,2.04,0
statusnet-fragdev-com,statusnet-fragdev-com,,[],False,1,0.0,1,0.22,0,1,0.54,0,1,0.0,1,0.5,1,0,0.0,1,0.5,0,1,1,0.5,2.04,0
statusnet-glou-org,statusnet-glou-org,,[],False,1,0.0,1,0.22,0,1,0.54,0,1,0.0,1,0.5,1,0,0.0,1,0.5,0,1,1,0.5,2.04,0
statusnet-gomertronic-com,statusnet-gomertronic-com,,[],False,1,0.0,1,0.22,0,1,0.54,0,1,0.0,1,0.5,1,0,0.0,1,0.5,0,1,1,0.5,2.04,0
statusnet-hackerposse-com,statusnet-hackerposse-com,,[],False,1,0.0,1,0.33,0,1,0.56,1,1,0.0,1,0.75,1,0,0.0,1,0.5,0,1,1,0.5,2.31,0
statusnet-imirhil-fr,statusnet-imirhil-fr,,[],False,1,0.0,1,0.22,0,1,0.54,0,1,0.0,1,0.5,1,0,0.0,1,0.5,0,1,1,0.5,2.04,0
statusnet-johndrinkwater-name,statusnet-johndrinkwater-name,,[],False,1,0.0,1,0.22,0,1,0.54,0,1,0.0,1,0.5,1,0,0.0,1,0.5,0,1,1,0.5,2.04,0
statusnet-jonkman-ca,statusnet-jonkman-ca,,[],False,1,0.0,1,0.22,0,1,0.54,0,1,0.0,1,0.5,1,0,0.0,1,0.5,0,1,1,0.5,2.04,0
statusnet-kaimi-cc,statusnet-kaimi-cc,,[],False,1,0.0,1,0.22,0,1,0.54,0,1,0.0,1,0.5,1,0,0.0,1,0.5,0,1,1,0.5,2.04,0
