KG id,KG name,KG SPARQL endpoint,RDF dump link,Ontology,F1-M Unique and persistent ID,F1-D URIs dereferenceability,F2a-M - Metadata availability via standard primary sources,F2b-M Metadata availability for all the attributes covered in the FAIR score computation,F3-M Data referrable via a DOI,F4-M Metadata registered in a searchable engine,F score,A1-D Working access point(s),A1-M Metadata availability via working primary sources,A1.2 Authentication & HTTPS support,A2-M Registered in search engines,A score,I1-D Standard & open representation format,I1-M Metadata are described with VoID/DCAT predicates,I2 Use of FAIR vocabularies,I3-D Degree of connection,I score,R1.1 Machine- or human-readable license retrievable via any primary source,"R1.2 Publisher information, such as authors, contributors, publishers, and sources",R1.3-D Data organized in a standardized way,R1.3-M Metadata are described with VoID/DCAT predicates,R score,FAIR score
statusnet-equestriarp-net,statusnet-equestriarp-net,,[],False,0,0.0,1,0.22,0,1,0.37,0.0,1,0.0,1,0.5,1,0,0.0,1,0.5,0,1,1,0,0.5,1.87
statusnet-fcac-com,statusnet-fcac-com,,[],False,0,0.0,1,0.22,0,1,0.37,0.0,1,0.0,1,0.5,1,0,0.0,1,0.5,0,1,1,0,0.5,1.87
statusnet-fragdev-com,statusnet-fragdev-com,,[],False,0,0.0,1,0.22,0,1,0.37,0.0,1,0.0,1,0.5,1,0,0.0,1,0.5,0,1,1,0,0.5,1.87
statusnet-glou-org,statusnet-glou-org,,[],False,0,0.0,1,0.33,0,1,0.39,0.0,1,0.0,1,0.5,1,0,0.0,1,0.5,0,1,1,0,0.5,1.89
statusnet-gomertronic-com,statusnet-gomertronic-com,,[],False,0,0.0,1,0.22,0,1,0.37,0.0,1,0.0,1,0.5,1,0,0.0,1,0.5,0,1,1,0,0.5,1.87
statusnet-hackerposse-com,statusnet-hackerposse-com,,[],False,0,0.0,1,0.44,0,1,0.41,1.0,1,0.0,1,0.75,1,0,0.0,1,0.5,0,1,1,0,0.5,2.16
statusnet-imirhil-fr,statusnet-imirhil-fr,,[],False,0,0.0,1,0.22,0,1,0.37,0.0,1,0.0,1,0.5,1,0,0.0,1,0.5,0,1,1,0,0.5,1.87
statusnet-johndrinkwater-name,statusnet-johndrinkwater-name,,[],False,0,0.0,1,0.33,0,1,0.39,0.0,1,0.0,1,0.5,1,0,0.0,1,0.5,0,1,1,0,0.5,1.89
statusnet-jonkman-ca,statusnet-jonkman-ca,,[],False,0,0.0,1,0.33,0,1,0.39,0.0,1,0.0,1,0.5,1,0,0.0,1,0.5,0,1,1,0,0.5,1.89
statusnet-kaimi-cc,statusnet-kaimi-cc,,[],False,0,0.0,1,0.22,0,1,0.37,0.0,1,0.0,1,0.5,1,0,0.0,1,0.5,0,1,1,0,0.5,1.87
statusnet-lebsanft-org,statusnet-lebsanft-org,,[],False,0,0.0,1,0.22,0,1,0.37,0.0,1,0.0,1,0.5,1,0,0.0,1,0.5,0,1,1,0,0.5,1.87
statusnet-ludost-net,statusnet-ludost-net,,[],False,0,0.0,1,0.22,0,1,0.37,0.0,1,0.0,1,0.5,1,0,0.0,1,0.5,0,1,1,0,0.5,1.87
statusnet-m-kuttner-com,statusnet-m-kuttner-com,,[],False,0,0.0,1,0.33,0,1,0.39,0.0,1,0.0,1,0.5,1,0,0.0,1,0.5,0,1,1,0,0.5,1.89
statusnet-mamalibre-com-ar,statusnet-mamalibre-com-ar,,[],False,0,0.0,1,0.22,0,1,0.37,0.0,1,0.0,1,0.5,1,0,0.0,1,0.5,0,1,1,0,0.5,1.87
statusnet-mrblog-nl,statusnet-mrblog-nl,,[],False,0,0.0,1,0.22,0,1,0.37,0.0,1,0.0,1,0.5,1,0,0.0,1,0.5,0,1,1,0,0.5,1.87
statusnet-mulestable-net,statusnet-mulestable-net,,[],False,0,0.0,1,0.33,0,1,0.39,0.0,1,0.0,1,0.5,1,0,0.0,1,0.5,0,1,1,0,0.5,1.89
statusnet-my-status-tk,statusnet-my-status-tk,,[],False,0,0.0,1,0.33,0,1,0.39,0.0,1,0.0,1,0.5,1,0,0.0,1,0.5,0,1,1,0,0.5,1.89
statusnet-ourcoffs-org-au,statusnet-ourcoffs-org-au,,[],False,0,0.0,1,0.33,0,1,0.39,0.0,1,0.0,1,0.5,1,0,0.0,1,0.5,0,1,1,0,0.5,1.89
statusnet-panda-id-au,statusnet-panda-id-au,,[],False,0,0.0,1,0.22,0,1,0.37,0.0,1,0.0,1,0.5,1,0,0.0,1,0.5,0,1,1,0,0.5,1.87
statusnet-postblue-info,statusnet-postblue-info,,[],False,0,0.0,1,0.22,0,1,0.37,0.0,1,0.0,1,0.5,1,0,0.0,1,0.5,0,1,1,0,0.5,1.87
statusnet-qdnx-org,statusnet-qdnx-org,,[],False,0,0.0,1,0.44,0,1,0.41,1.0,1,0.0,1,0.75,1,0,0.0,1,0.5,0,1,1,0,0.5,2.16
statusnet-russwurm-org,statusnet-russwurm-org,,[],False,0,0.0,1,0.33,0,1,0.39,0.0,1,0.0,1,0.5,1,0,0.0,1,0.5,0,1,1,0,0.5,1.89
