,Availability,Licensing,Interlinking,Verifiability,Security
Availability,"1.00 [1.00, 1.00] ***","0.06 [nan, nan] ","-0.24 [-0.81, 0.54] ","-0.20 [-0.74, 0.63] ","0.22 [nan, nan] "
Licensing,"0.06 [nan, nan] ","1.00 [nan, nan] ***","-0.18 [nan, nan] ","-0.06 [nan, nan] ","0.27 [nan, nan] "
Interlinking,"-0.24 [-0.81, 0.54] ","-0.18 [nan, nan] ","1.00 [1.00, 1.00] ***","0.98 [0.89, 1.00] ***","-0.72 [nan, nan] *"
Verifiability,"-0.20 [-0.74, 0.63] ","-0.06 [nan, nan] ","0.98 [0.89, 1.00] ***","1.00 [1.00, 1.00] ***","-0.69 [nan, nan] *"
Security,"0.22 [nan, nan] ","0.27 [nan, nan] ","-0.72 [nan, nan] *","-0.69 [nan, nan] *","1.00 [nan, nan] ***"
