,Availability,Licensing,Interlinking,Verifiability,Security
Availability,"1.00 [1.00, 1.00] ***","-0.44 [nan, nan] ","0.11 [-0.43, 0.57] ","-0.03 [-0.57, 0.55] ","-0.26 [-0.67, 0.14] "
Licensing,"-0.44 [nan, nan] ","1.00 [nan, nan] ***","0.13 [nan, nan] ","0.52 [nan, nan] *","0.06 [nan, nan] "
Interlinking,"0.11 [-0.43, 0.57] ","0.13 [nan, nan] ","1.00 [1.00, 1.00] ***","0.26 [-0.27, 0.65] ","0.31 [-0.21, 0.72] "
Verifiability,"-0.03 [-0.57, 0.55] ","0.52 [nan, nan] *","0.26 [-0.27, 0.65] ","1.00 [1.00, 1.00] ***","-0.25 [-0.64, 0.27] "
Security,"-0.26 [-0.67, 0.14] ","0.06 [nan, nan] ","0.31 [-0.21, 0.72] ","-0.25 [-0.64, 0.27] ","1.00 [nan, nan] ***"
