KG id,KG name,KG SPARQL endpoint,RDF dump link,Ontology,F1-M Unique and persistent ID,F1-D URIs dereferenceability,F2a-M - Metadata availability via standard primary sources,F2b-M Metadata availability for all the attributes covered in the FAIR score computation,F3-M Data referrable via a DOI,F4-M Metadata registered in a searchable engine,F score,A1-D Working access point(s),A1-M Metadata availability via working primary sources,A1.2 Authentication & HTTPS support,A2-M Registered in search engines,A score,I1-D Standard & open representation format,I1-M Metadata are described with VoID/DCAT predicates,I2 Use of FAIR vocabularies,I3-D Degree of connection,I score,R1.1 Machine- or human-readable license retrievable via any primary source,"R1.2 Publisher information, such as authors, contributors, publishers, and sources",R1.3-D Data organized in a standardized way,R1.3-M Metadata are described with VoID/DCAT predicates,R score,FAIR score
bio2rdf-linkedspl,Bio2RDF::Linkedspl,http://linkedspl.bio2rdf.org/sparql,[],False,1,0.0,1,0.56,0,1,0.59,0.0,1,0.0,1,0.5,1,0,0.0,0,0.25,1,1,1,0,0.75,2.09
bio2rdf-nextprot,Bio2RDF::neXtProt,http://nextprot.bio2rdf.org/sparql,[],False,1,0.0,1,0.44,0,1,0.57,0.0,1,0.0,1,0.5,1,0,0.0,0,0.25,1,1,1,0,0.75,2.07
bio2rdf-omim-resources,bio2rdf-omim-resources,,[],False,1,0.0,1,0.33,0,1,0.56,0.0,1,0.0,1,0.5,1,0,0.0,1,0.5,0,1,1,0,0.5,2.06
bio2rdf-pathwaycommons,Bio2RDF::Pathwaycommons,http://pathwaycommons.bio2rdf.org/sparql,[],False,1,0.0,1,0.56,0,1,0.59,0.0,1,0.0,1,0.5,1,0,0.0,0,0.25,1,1,1,0,0.75,2.09
bio2rdf-sgd-resources,bio2rdf-sgd-resources,,[],False,1,0.0,1,0.33,0,1,0.56,0.0,1,0.0,1,0.5,1,0,0.0,1,0.5,0,1,1,0,0.5,2.06
bio2rdf-taxon,bio2rdf-taxon,,[],False,1,0.0,1,0.33,0,1,0.56,0.0,1,0.0,1,0.5,1,0,0.0,1,0.5,0,1,1,0,0.5,2.06
bio2rdf-wikipathways,Bio2RDF::Wikipathways,http://wikipathways.bio2rdf.org/sparql,[],False,1,0.0,1,0.56,0,1,0.59,0.0,1,0.0,1,0.5,1,0,0.0,0,0.25,1,1,1,0,0.75,2.09
bioportal-eco,Evidence codes,,[],True,1,0.0,1,0.44,0,1,0.57,0.0,1,0.0,1,0.5,1,0,0.0,0,0.25,1,1,1,0,0.75,2.07
bioportal-emap,Mouse gross anatomy and development,,[],True,1,0.0,1,0.44,0,1,0.57,0.0,1,0.0,1,0.5,1,0,0.0,0,0.25,1,1,1,0,0.75,2.07
bioportal-gro,Cereal Plant Development,,[],True,1,0.0,1,0.44,0,1,0.57,0.0,1,0.0,1,0.5,1,0,0.0,0,0.25,1,1,1,0,0.75,2.07
bioportal-hom,Ontology of homology and related concepts in biology,,[],True,1,0.0,1,0.44,0,1,0.57,0.0,1,0.0,1,0.5,1,0,0.0,0,0.25,1,1,1,0,0.75,2.07
bioportal-hom_harvard,HOM-HARVARD,,[],True,1,0.0,1,0.44,0,1,0.57,0.0,1,0.0,1,0.5,1,0,0.0,0,0.25,1,1,1,0,0.75,2.07
bioportal-invertebrata,Hewan Invertebrata,,[],True,1,0.0,1,0.44,0,1,0.57,0.0,1,0.0,1,0.5,1,0,0.0,0,0.25,1,1,1,0,0.75,2.07
bioportal-kisao,Kinetic Simulation Algorithm Ontology,,[],True,1,0.0,1,0.44,0,1,0.57,0.0,1,0.0,1,0.5,1,0,0.0,0,0.25,1,1,1,0,0.75,2.07
bioportal-qibo,Quantitative Imaging Biomarker Ontology,,[],True,1,0.0,1,0.44,0,1,0.57,0.0,1,0.0,1,0.5,1,0,0.0,0,0.25,1,1,1,0,0.75,2.07
bll-thesaurus,Bibliography of Linguistic Literature (BLL) Thesaurus,,[],True,1,0.0,1,0.56,0,1,0.59,0.0,1,0.0,1,0.5,1,0,0.0,1,0.5,1,1,1,0,0.75,2.34
brazilian-politicians,Brazilian Politicians,,[],False,1,0.0,1,0.56,0,1,0.59,0.0,1,0.0,1,0.5,1,0,0.0,1,0.5,1,1,1,0,0.75,2.34
british-museum-collection,British Museum Collection,http://collection.britishmuseum.org/Sparql,[],False,1,0.0,1,0.56,0,1,0.59,0.0,1,0.0,1,0.5,1,0,0.0,0,0.25,1,1,1,0,0.75,2.09
cap-italy-rdf,Postal codes Italy (LinkedOpenData.it),http://sparql.linkedopendata.it/cap,[],False,1,0.0,1,0.56,0,1,0.59,0.0,1,0.0,1,0.5,1,0,0.0,0,0.25,1,1,1,0,0.75,2.09
chempedia-rdf,ChemPedia RDF,,[],False,1,0.0,1,0.44,0,1,0.57,0.0,1,0.0,1,0.5,1,0,0.0,0,0.25,1,1,1,0,0.75,2.07
cipfa,CIPFA,,[],False,1,0.0,1,0.44,0,1,0.57,0.0,1,0.0,1,0.5,1,0,0.0,1,0.5,0,1,1,0,0.5,2.07
coins-openuplabs,OpenUpLabs COINS,http://gov.tso.co.uk/coins/sparql,[],False,1,0.0,1,0.56,0,1,0.59,0.0,1,0.0,1,0.5,1,0,0.0,0,0.25,1,1,1,0,0.75,2.09
combined-nomenclature-2012,CN  2012,http://purl.org/weso/sparql,[],False,1,0.0,1,0.67,0,1,0.61,0.0,1,0.0,1,0.5,1,0,0.0,1,0.5,1,1,1,0,0.75,2.36
copyrighttermbank,CopyrightTermBank,,[],False,1,0.0,1,0.44,0,1,0.57,0.0,1,0.0,1,0.5,1,0,0.0,1,0.5,1,1,1,0,0.75,2.32
cpa-2008,CPA 2008,http://purl.org/weso/sparql,[],False,1,0.0,1,0.67,0,1,0.61,0.0,1,0.0,1,0.5,1,0,0.0,1,0.5,1,1,1,0,0.75,2.36
cpc-2008,CPC 2008,http://purl.org/weso/sparql,[],False,1,0.0,1,0.67,0,1,0.61,0.0,1,0.0,1,0.5,1,0,0.0,1,0.5,1,1,1,0,0.75,2.36
cpv-2003,CPV  2003,http://156.35.31.156/sparql,[],False,1,0.0,1,0.67,0,1,0.61,0.0,1,0.0,1,0.5,1,0,0.0,1,0.5,1,1,1,0,0.75,2.36
cpv-2008,CPV 2008,http://purl.org/weso/sparql,[],False,1,0.0,1,0.67,0,1,0.61,0.0,1,0.0,1,0.5,1,0,0.0,1,0.5,1,1,1,0,0.75,2.36
crowdsourcing-fb,crowdsourcing-fb,http://140.109.28.64:2020/sparql,[],False,1,0.0,1,0.56,0,1,0.59,0.0,1,0.0,1,0.5,1,0,0.0,1,0.5,1,1,1,0,0.75,2.34
culturalinkeddata,CulturaLinkedData,http://cultura.linkeddata.es/sparql,[],False,1,0.0,1,0.56,0,1,0.59,1.0,1,1.0,1,1.0,1,0,0.0,1,0.5,1,1,1,0,0.75,2.84
cz-list-of-databoxes,List of Czech data boxes,https://linked.opendata.cz/sparql,"['https://data.cssz.cz/dump/duchodci-v-cr-krajich-okresech.csv', 'https://data.cssz.cz/dump/duchodci-v-cr-krajich-okresech.trig', 'https://linked.opendata.cz/soubor/datové-schránky/datové-schránky.trig.gz', 'https://data.cssz.cz/dump/pomocne-ciselniky.csv', 'https://data.cssz.cz/dump/pomocne-ciselniky.trig', 'https://linked.opendata.cz/soubory/souhrnné-typy-ovm/souhrnné-typy-ovm.trig.gz', 'https://linked.opendata.cz/soubor/ovm/ovm.trig.gz', 'https://data.cssz.cz/dump/duchodci-v-cr-krajich-okresech.csv', 'https://data.cssz.cz/dump/duchodci-v-cr-krajich-okresech.trig', 'https://linked.opendata.cz/soubory/souhrnné-typy-ovm/souhrnné-typy-ovm.trig.gz', 'https://linked.opendata.cz/soubor/datové-schránky/datové-schránky.trig.gz', 'https://data.cssz.cz/dump/pomocne-ciselniky.csv', 'https://data.cssz.cz/dump/pomocne-ciselniky.trig', 'https://linked.opendata.cz/soubor/ovm/ovm.trig.gz']",False,1,0.0942,1,0.78,0,1,0.65,1.0,1,1.0,1,1.0,1,1,0.53,1,0.88,1,1,1,1,1.0,3.53
cz-nace,Czech statistical classification of economic activities in the European Community (CZ-NACE),https://linked.opendata.cz/sparql,"['https://data.cssz.cz/dump/duchodci-v-cr-krajich-okresech.csv', 'https://data.cssz.cz/dump/duchodci-v-cr-krajich-okresech.trig', 'https://linked.opendata.cz/soubor/datové-schránky/datové-schránky.trig.gz', 'https://data.cssz.cz/dump/pomocne-ciselniky.csv', 'https://data.cssz.cz/dump/pomocne-ciselniky.trig', 'https://linked.opendata.cz/soubory/souhrnné-typy-ovm/souhrnné-typy-ovm.trig.gz', 'https://linked.opendata.cz/soubor/ovm/ovm.trig.gz', 'https://data.cssz.cz/dump/duchodci-v-cr-krajich-okresech.csv', 'https://data.cssz.cz/dump/duchodci-v-cr-krajich-okresech.trig', 'https://linked.opendata.cz/soubory/souhrnné-typy-ovm/souhrnné-typy-ovm.trig.gz', 'https://linked.opendata.cz/soubor/datové-schránky/datové-schránky.trig.gz', 'https://data.cssz.cz/dump/pomocne-ciselniky.csv', 'https://data.cssz.cz/dump/pomocne-ciselniky.trig', 'https://linked.opendata.cz/soubor/ovm/ovm.trig.gz']",False,1,0.0918,1,0.78,0,1,0.65,1.0,1,1.0,1,1.0,1,1,0.53,1,0.88,1,1,1,1,1.0,3.53
