,F1-M,F1-M_p-value,F1-D,F1-D_p-value,F2a-M,F2a-M_p-value,F2b-M,F2b-M_p-value,F3-M,F3-M_p-value,F4-M,F4-M_p-value,F,F_p-value,A1-D,A1-D_p-value,A1-M,A1-M_p-value,A1.2,A1.2_p-value,A2-M,A2-M_p-value,A,A_p-value,I1-D,I1-D_p-value,I1-M,I1-M_p-value,I2,I2_p-value,I3-D,I3-D_p-value,I,I_p-value,R1.1,R1.1_p-value,R1.2,R1.2_p-value,R1.3-D,R1.3-D_p-value,R,R_p-value,FAIR,FAIR_p-value,R1.3-M,R1.3-M_p-value
F1-M,,***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F1-D,,,1.0,***,,,0.14,,0.72,***,,,0.38,*,0.21,,,,0.81,***,,,0.39,**,,,0.81,***,0.72,***,0.06,,0.6,***,0.15,,,,,,0.41,**,0.37,*,0.81,***
F2a-M,,,,,,***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F2b-M,,,0.14,,,,1.0,***,0.27,,,,0.94,***,0.64,***,,,0.25,,,,0.64,***,,,0.25,,0.27,,0.29,,0.37,*,0.36,*,,,,,0.4,**,0.93,***,0.25,
F3-M,,,0.72,***,,,0.27,,1.0,***,,,0.27,,0.15,,,,0.56,***,,,0.28,,,,0.56,***,1.0,***,0.04,,0.43,**,0.11,,,,,,0.29,,0.27,,0.56,***
F4-M,,,,,,,,,,,,***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,,,0.38,*,,,0.94,***,0.27,,,,1.0,***,0.67,***,,,0.44,**,,,0.72,***,,,0.44,**,0.27,,0.29,,0.5,***,0.38,*,,,,,0.49,***,0.98,***,0.44,**
A1-D,,,0.21,,,,0.64,***,0.15,,,,0.67,***,1.0,***,,,0.26,,,,0.97,***,,,0.26,,0.15,,-0.08,,0.13,,-0.12,,,,,,-0.01,,0.68,***,0.26,
A1-M,,,,,,,,,,,,,,,,,,***,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A1.2,,,0.81,***,,,0.25,,0.56,***,,,0.44,**,0.26,,,,1.0,***,,,0.49,***,,,1.0,***,0.56,***,0.08,,0.73,***,0.19,,,,,,0.51,***,0.45,**,1.0,***
A2-M,,,,,,,,,,,,,,,,,,,,,,***,,,,,,,,,,,,,,,,,,,,,,,,
A,,,0.39,**,,,0.64,***,0.28,,,,0.72,***,0.97,***,,,0.49,***,,,1.0,***,,,0.49,***,0.28,,-0.05,,0.3,,-0.06,,,,,,0.12,,0.73,***,0.49,***
I1-D,,,,,,,,,,,,,,,,,,,,,,,,,,***,,,,,,,,,,,,,,,,,,,,
I1-M,,,0.81,***,,,0.25,,0.56,***,,,0.44,**,0.26,,,,1.0,***,,,0.49,***,,,1.0,***,0.56,***,0.08,,0.73,***,0.19,,,,,,0.51,***,0.45,**,1.0,***
I2,,,0.72,***,,,0.27,,1.0,***,,,0.27,,0.15,,,,0.56,***,,,0.28,,,,0.56,***,1.0,***,0.04,,0.43,**,0.11,,,,,,0.29,,0.27,,0.56,***
I3-D,,,0.06,,,,0.29,,0.04,,,,0.29,,-0.08,,,,0.08,,,,-0.05,,,,0.08,,0.04,,1.0,***,0.73,***,0.0,,,,,,0.03,,0.29,,0.08,
I,,,0.6,***,,,0.37,*,0.43,**,,,0.5,***,0.13,,,,0.73,***,,,0.3,,,,0.73,***,0.43,**,0.73,***,1.0,***,0.13,,,,,,0.37,*,0.51,***,0.73,***
R1.1,,,0.15,,,,0.36,*,0.11,,,,0.38,*,-0.12,,,,0.19,,,,-0.06,,,,0.19,,0.11,,0.0,,0.13,,1.0,***,,,,,0.94,***,0.46,**,0.19,
R1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,***,,,,,,,,
R1.3-D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,***,,,,,,
R,,,0.41,**,,,0.4,**,0.29,,,,0.49,***,-0.01,,,,0.51,***,,,0.12,,,,0.51,***,0.29,,0.03,,0.37,*,0.94,***,,,,,1.0,***,0.56,***,0.51,***
FAIR,,,0.37,*,,,0.93,***,0.27,,,,0.98,***,0.68,***,,,0.45,**,,,0.73,***,,,0.45,**,0.27,,0.29,,0.51,***,0.46,**,,,,,0.56,***,1.0,***,0.45,**
R1.3-M,,,0.81,***,,,0.25,,0.56,***,,,0.44,**,0.26,,,,1.0,***,,,0.49,***,,,1.0,***,0.56,***,0.08,,0.73,***,0.19,,,,,,0.51,***,0.45,**,1.0,***
